ds_codigo;Localidades;Periodos;Renda per Capita - Censo Demografico (Em reais correntes);Domicilios Particulares com Renda per Capita ate 1/2 Salario Minimo - Censo Demografico (Em %);Domicilios Particulares com Renda per Capita ate 1/4 do Salario Minimo - Censo Demografico (Em %);Cod. IBGE;Populacao 2018;Populacao 2019;Taxa de Mortalidade Infantil-2016
1;Agua Rasa;2010;1354.8;12.22;8.11;;83127;82846;8.19
2;Alto de Pinheiros;2010;3984.34;7.16;6.13;;41421;41191;14.04
3;Anhanguera;2010;528.11;22.32;7.32;;81269;82976;10.61
4;Aricanduva;2010;794.9;16.25;7.11;;86501;86184;8.42
5;Artur Alvim;2010;740.13;13.64;5.19;;101309;100887;18.07
6;Barra Funda;2010;2698.12;6.71;4.08;;15745;15927;7.71
7;Bela Vista;2010;2546.22;5.99;4.18;;72614;72925;5.1
8;Belem;2010;1319.11;9.33;4.86;;48490;48850;12.61
9;Bom Retiro;2010;933.15;21.5;15.03;;38024;38449;3.57
10;Bras;2010;969.1;10.66;5.44;;32378;32711;7.81
11;Brasilandia;2010;502.19;27.61;11.22;;278581;280278;15.17
12;Butanta;2010;2105.73;6.38;3.94;;53970;53904;7.81
13;Cachoeirinha;2010;688.68;20.64;8.93;;145688;146039;10.29
14;Cambuci;2010;1722.16;8.19;4.87;;40049;40357;5.92
15;Campo Belo;2010;3231.32;10.36;7.9;;64180;63962;8.94
16;Campo Grande;2010;1769.23;9.47;5.12;;105734;106227;4.07
17;Campo Limpo;2010;722.39;20.66;8.48;;225585;227235;12.37
18;Cangaiba;2010;690.16;20.09;8.55;;137737;137923;12.81
19;Capao Redondo;2010;541.48;24.96;10.06;;290943;293651;11.73
20;Carrao;2010;1236.33;11.45;6.19;;84735;84831;6.79
21;Casa Verde;2010;1127.91;13.41;7.01;;86009;86007;14.75
22;Cidade Ademar;2010;648.91;24.79;11.31;;282224;283949;10.24
23;Cidade Dutra;2010;687.45;20.65;8.46;;201462;202297;12.84
24;Cidade Lider;2010;690.34;19.67;7.59;;133606;134425;11.24
25;Cidade Tiradentes;2010;407.03;32.64;13.61;;230610;233110;13.17
26;Consolacao;2010;3787.88;7.82;7.12;;57437;57421;5.01
27;Cursino;2010;1487.73;11.52;5.34;;112963;113347;6.89
28;Ermelino Matarazzo;2010;635.16;22.53;9.67;;117821;118268;9.24
29;Freguesia do O;2010;975.95;12.42;5.57;;140561;140324;16.56
30;Grajau;2010;450.7;29.89;11.89;;384203;387148;13.04
31;Guaianases;2010;515.6;27.78;10.86;;108449;109089;9.95
33;Iguatemi;2010;426.41;32.63;12.9;;145317;147514;15.16
34;Ipiranga;2010;1526.75;12.06;6.72;;111265;111744;10.59
35;Itaim Bibi;2010;4134.27;8.56;7.31;;96561;96896;4.23
36;Itaim Paulista;2010;435.01;32.64;13.63;;232620;233767;12.4
37;Itaquera;2010;620.46;22.74;9.74;;210158;210858;9.98
38;Jabaquara;2010;1233.39;14.51;6.74;;228281;228815;11.71
39;Jacana;2010;707.65;21.33;9.78;;95812;95934;10.11
40;Jaguara;2010;979.61;13.79;7.17;;24131;24042;3.51
41;Jaguare;2010;1212.47;15.3;5.9;;54203;54697;7.46
42;Jaragua;2010;558.07;23.41;8.96;;207640;210217;14.13
43;Jardim Ângela;2010;427.48;32.53;13.72;;329893;334057;11.83
44;Jardim Helena;2010;416.47;35.36;15.87;;135109;135358;13.5
45;Jardim Paulista;2010;4706.67;9.01;8.28;;90455;90588;
46;Jardim Sao Luis;2010;599.11;22.15;8.79;;288748;291198;10.79
47;Jose Bonifacio (distrito da capital);2010;570.02;21.73;8.78;;134369;135461;14.01
96;Lajeado;2010;412.35;32.93;13.12;;172402;173469;16.77
48;Lapa;2010;2463.04;6.93;4.91;;67063;67118;3.95
49;Liberdade;2010;2101.8;8.39;6.09;;72206;72503;9.35
50;Limao;2010;957.94;12.48;4.95;;79567;79613;13.61
51;Mandaqui;2010;1264.58;11.46;6.47;;109031;109131;10.55
52;Marsilac;2010;347.37;41.56;20.46;;8370;8398;16.95
32;Moema;2010;4967.83;7.95;7.4;;88515;88949;3.8
53;Mooca;2010;1891.78;7.04;4.56;;79662;79997;4.5
54;Morumbi;2010;4085.4;13.36;8.91;;51914;52416;5.78
55;Parelheiros;2010;404.18;36.08;15.97;;149108;151339;12.63
56;Pari;2010;963.3;14.55;7.4;;18752;18910;13.99
57;Parque do Carmo;2010;673.22;23.87;11.15;;71087;71418;13.39
58;Pedreira (distrito da capital);2010;523.53;27.52;11.09;355030858;157688;159325;9.01
59;Penha;2010;1030.15;11.65;5.57;;128981;129042;9.89
60;Perdizes;2010;3300.27;5.42;4.23;;114314;114552;1.04
61;Perus;2010;473.22;30.79;13.76;;87474;88387;13.29
62;Pinheiros;2010;3727.36;9.17;7.84;;65882;65895;3.12
63;Pirituba;2010;965.08;15.77;7.27;;170644;170940;9.4
64;Ponte Rasa;2010;771.61;17.5;7.61;;90513;90145;9.7
65;Raposo Tavares;2010;791.42;19.61;8.4;;106046;106735;10.55
66;Republica;2010;1529.97;8.65;5.86;;61123;61478;15.54
67;Rio Pequeno;2010;1348.58;15.25;6.82;;122764;123238;7.52
68;Sacoma;2010;913.19;15.56;6.76;;260767;262193;10.84
69;Santa Cecilia;2010;2229.71;7.34;5.53;;87820;88170;13.21
70;Santana;2010;2026.32;7.37;5.14;;114204;113729;9.27
71;Santo Amaro;2010;3033.75;7.94;6.3;;74139;74294;8.28
95;Sao Domingos;2010;931.27;17.63;8.56;;86112;86258;15.92
72;Sao Lucas;2010;880.15;13.32;6.41;;142954;142953;8.22
73;Sao Mateus;2010;607.69;23.19;10.65;;155189;155289;13.13
74;Sao Miguel;2010;602.38;24.05;10.32;;89552;89364;5.14
75;Sao Rafael;2010;451.95;31.83;12.94;;156616;158143;11.48
76;Sapopemba;2010;544.94;23.49;8.93;;288801;289284;11.55
77;Saude;2010;2569.83;7.17;5.29;;133735;133944;6.62
78;Se;2010;909.48;10.21;4.95;;26154;26423;21.83
79;Socorro (distrito da capital);2010;1867.74;10.66;5.94;;36356;36194;15.87
80;Tatuape;2010;2158.82;6.64;4.58;;95364;95705;10.89
81;Tremembe (distrito da capital);2010;720.45;21.62;8.79;;218574;221051;15.15
82;Tucuruvi;2010;1278.74;8.8;4.63;;96856;96608;8.26
83;Vila Andrade;2010;1959.59;19.94;8.16;;156904;160173;6.16
84;Vila Curuca;2010;503.43;28.03;11.17;;152431;152967;12.59
85;Vila Formosa;2010;1259.87;13.6;7.37;;94307;94205;14.6
86;Vila Guilherme;2010;1212.16;10.05;5.12;;56611;56846;13.09
87;Vila Jacui;2010;537.57;27.91;11.33;;145045;145443;15.68
88;Vila Leopoldina;2010;2942.63;7.09;4.62;;44199;44643;1.69
89;Vila Maria;2010;821.8;19.4;9.02;;113835;113931;15.5
90;Vila Mariana;2010;3757.39;5.81;4.81;;132016;132122;4.17
91;Vila Matilde;2010;985.87;12.54;5.63;;105522;105550;11.5
92;Vila Medeiros;2010;723.93;17.32;7.7;;124500;123979;12.6
93;Vila Prudente;2010;1188.42;12.51;6.77;;104649;104668;11.18
94;Vila Sonia;2010;1759.48;12.35;5.85;;119354;120505;9.3
